Hines|US/UK|91868|90589
Man Group|UK/Switzerland|90919|76900
Ares Management|US|88739|90402
Sumitomo Mitsui Asset Management Co.|Japan|86279|96535
CBRE Global Investors|US|86000|82300
MacKay Shields|US|84406|89632
BayernInvest|Germany|84321|71502
Oaktree Capital Management|US|83470|95288
Fiera Capital|Canada|82845|82663
Hartford Investment Mngt. Co. (HIMCO)|US|82301|94170
Acadian Asset Management|US|81574|71213
Arrowstreet Capital|US|81198|66507
New England Asset Management Limited|US|80404|87397
Fisher Investments|US/UK|79708|0
Boston Partners Global Investors|US|78885|82694
OP Financial Group|Finland|78000|72000
Barrow, Hanley, Mewhinney & Strauss|US|76395|87092
Metzler Asset Management|Germany|75735|73632
Mediolanum Group|Italy|75717|69744
Galliard Capital Management|US|73448|86615
Storebrand Asset Management|Norway|73252|63465
PineBridge Investments|US|71106|78565
Irish Life Investment Managers|Ireland|69000|64949
OFI Asset Management|France|68696|66500
Rothschild Asset Management|France|66600|54000
Mesirow Financial Currency Management|US|66327|63778
La Francaise|France|66150|59949
LBBW Asset Management|Germany|65982|62352
Prologis|US|65592|62631
Edmond de Rothschild|Switzerland/UK|65135|56900
Erste Asset Management|Austria|63338|57188
CM-CIC Asset Management|France|63000|63700
Partners Group|Switzerland|61936|54200
Brandywine Global Investment Mngt.|US|61900|62200
William Blair|US|61254|61523
Hauck & Aufhauser Privatbankiers|Germany|60743|60743
Newton investment Management|UK|60657|62268
DNB Asset Management AS|Norway|60503|58000
Kempen Capital Management|Netherlands|59807|47424
Oddo BHF Asset Management SAS|France|59666|0
Handelsbanken|Sweden|59000|56558
GMO UK|UK/US/Switz.|58588|72813
Ashmore Group|UK|57900|49600
CVC Capital Partners|Luxembourg/UK|57169|31971
Carmignac Gestion|France|56553|58442
Jupiter Asset Management|UK|56533|47278
Walter Scott & Partners|UK|55562|55422
CapitaLand|Singapore|55443|51116
QIC|Australia|55374|54583
Degroof Petercam Asset Management|Belgium|54753|52000
Actiam|Netherlands|54125|54726
M.M. Warburg & Co.|Germany|54100|54100
Record Currency Management|UK|53235|53688
Mondrian Investment Partners|UK|52258|55969
Cohen & Steers Capital Management|US|51840|54281
LGT Capital Partners|Switzerland|51725|53196
Marathon Asset Management|UK|51544|50893
CaixaBank Asset Management|Spain|51370|50209
ASR Vermogensbeheer|Netherlands|51300|50200
Brown Advisory|US/UK|50717|51016
BlueBay Asset Management|UK|49784|47386
Kames Capital|UK|49760|59342
Victory Capital Management|US|49425|52076
Connor, Clark and Lunn Financial Group|Canada|49364|0
LaSalle Investment Management|US/UK|49197|55123
Tokio Marine Asset Management|Japan|48605|51749
Baloise Asset Management|Switzerland|48439|0
Starwood Capital Group|US|47289|45564
BBH Investment Management|US|46743|52838
CPR Asset Management|France|46069|39183
Daiwa SB Investments (UK)|UK/Japan|45849|47180
W&W Asset Management|Germany|45800|45800
PanAgora Asset Management|US|44899|40576
Old Mutual Investment Group South|Africa|44360|41552
Northill Capital|UK|42520|39194
Hamilton Lane Advisors|US|41896|38373
Lombard Odier Investment Managers|Switzerland|41774|41805
GCM Grosvenor|US|41564|46227
Joh. Berenberg, Gossler & Co.|Germany|41500|40700
Coronation Fund Managers South|Africa/UK|41368|38841
Epoch Investment Partners|US|41207|39921
Thornburg Investment Management|US|41000|46543
HarbourVest Partners|US|40643|45000
Tishman Speyer|US|40400|38447
Pathway Capital Management|US|40202|42431
Patrizia Immobilien|Germany|39718|18700
Clarion Partners|US|37200|41800
Hermes Investment Management|UK|37147|33423
The Boston Company Asset Mngt.|US|36194|36157
Quilvest|Luxembourg|36000|36000
SECOR Asset Management|US|35520|0
Colony NorthStar|US|35100|53500
J O Hambro Capital Management|UK|35073|29853
Harding Loevner|US|34608|34608
Colchester Global Investors|UK|33716|32174
Universal-Investment|Germany|33715|27988
Raiffeisen Capital Management|Austria|32974|30317
Pantheon|UK|32668|31314
Heitman|US|32512|34578
Arca Fondi|Italy|32342|30330
Shinhan BNP Paribas AMC|South Korea|31950|31230
Artemis Investment Management|UK|31700|29300
Bentall Kennedy|US|31003|30229
GW&K Investment Management|US|30885|30368
Logan Circle Partners|US|30840|33436
Muzinich & Co.|US|30099|26570
VidaCaixa|Spain|30049|26706
Quoniam|Germany|29716|26454
Alcentra|US/UK|29400|29230
Gothaer Asset Management|Germany|29300|29300
Mirabaud Group|Switzerland|28470|27840
Comgest|France|28276|21792
Stone Harbor Investment Partners|US|28271|34038
AEW Europe|France|27700|26000
Intermediate Capital Group|UK|27443|22625
Adams Street Partners|US|26976|28369
TKP Investments|Netherlands|26948|23535
HFT Investment Management|China|26370|29110
Brandes Investment Partners|US|25958|26531
DNCA Investments|France|25300|19800
InsingerGilissen|Netherlands|25000|0
Eagle Asset Management|US|24896|24627
Los Angeles CM and Equity Research|US|24881|0
Beutel Goodman & Company|Canada|24790|24790
Managed Portfolio Advisors|US|24600|22700
AGF Management|Canada|24457|24345
Davis Selected Advisers/Davis Advisors|US|24323|25669
Genesis Asset Managers|UK|24304|24304
Axeltis|France|24200|24200
Nykredit Asset Management|Denmark|24026|21125
Winton Group|UK|23500|28470
KGAL Group|Germany|22663|21687
Banco Sabadell|Spain|22208|19857
Unigestion|Switzerland|22028|19593
First Quadrant|US|21870|21700
Assenagon Asset Management|Germany|21712|18798
Kutxabank Gestion|Spain|21592|20359
SPF Beheer|Netherlands|20873|19930
Thompson, Siegel & Walmsley|US|20830|0
Seix Investment Advisors|US|20700|25973
AEW Capital|US|20200|21600
Cheyne Capital|UK|20045|0
BankInvest|Denmark|19865|18295
Jyske Capital|Denmark|19457|17068
TFG Asset Management|UK|19159|0
Lendlease Investment Management|Australia|18438|17531
BlueMountain Capital Management|US|18300|20096
Cardano|UK|18000|0
Landmark Partners|US|17843|15398
Westwood Management Corp.|US|17452|17254
Calamos Advisors|US|17311|17330
EFG Asset Management (UK)|UK|17020|10545
Tweedy, Browne Company|US|16861|16861
PAG Hong|Kong|16800|15185
Majedie Asset Management|UK|16500|16000
Martin Currie Investment Management|UK|16500|13600
ValueAct Capital|US|16248|16248
Savills Investment Management|UK|16053|16727
C Worldwide Asset Management|Denmark|16000|12300
Millennium Global Investments|UK|15990|12558
Yacktman Asset Management|US|15888|15888
H2O Asset Management|UK|15800|11500
Kepler-Fonds|Austria|15770|14895
Syz Asset Management|Switzerland|15581|16000
Bankia Fondos|Spain|15481|13016
Generation Investment Management|UK|15387|0
Southeastern Asset Management|US|15333|18460
Veritas Asset Management|UK|15161|15161
Glenview Capital|US|15056|9876
TimesSquare Capital Management|US|14900|15400
Royce & Associates|US|14500|16700
T&D Asset Management|Japan|14497|10271
Siemens Fonds Invest|Germany|14400|14263
EnTrust Permal|US|14300|19100
The GPT Group|Australia|14080|13154
Semper Constantia Invest|Austria|14000|14000
SCOR Investment Partners|France|13990|14355
PAAMCO Prisma Holdings|US/UK|13855|9456
Sparinvest|Luxembourg|13561|10429
Brookfield AM (Public Securities Group)|US|13465|15102
Allianz Popular Pensiones|Spain|13218|16157
TwentyFour Asset Management|UK|12718|9175
Adrian Lee & Partners|UK|12704|8541
EIG Global Energy Partners|US|12600|13300
Patron Capital Advisors|UK|12471|11643
Aktia Bank|Finland|12281|9990
CQS|UK|12200|11500
QS investors|US|12100|16400
DJE Kapital|Germany|12000|11000
Liontrust Asset Management|UK|11993|7030
Capital Dynamics|Switzerland|11700|24088
Frontier Capital Management|US|11685|11672
RWC Partners|UK|11685|9869
Sydbank Asset Management|Denmark|11660|11882
Highland Capital Management|US|11477|13883
Hayfin Capital Management|UK|11400|8200
Kairos Partners|Italy|11306|8178
BPI Gestao de Activos|Portugal|11268|10623
Evli Bank|Finland|11200|10600
Bankinter|Spain|11055|0
LocalTapiola Asset Management|Finland|10821|9696
GNB Gestao de Ativos|Portugal|10812|12364
Lupus alpha Asset Management|Germany|10800|8700
Alfred Berg|Sweden|10700|11500
Siguler Guff|US|10675|11198
Maple-Brown Abbott|Australia|10483|8603
Gateway Investment Advisers|US|10400|10900
KBI Global Investors|Ireland|10108|9097
DTZ Investors|UK|10074|9589
Veritable LP|US|10000|11400
Capital Four|Denmark|9730|9589
Systematica Investments Channel|Islands|9700|9700
Maj Invest|Denmark|9654|8750
McDonnell Investment Management|US|9500|10700
HQ Capital|US|9424|10819
Bouwinvest|Netherlands|9420|8457
Vaughan Nelson Investment Mngt.|US|9300|10600
Setanta Asset Management|Ireland|9268|8622
Impax Asset Management|UK|9267|5928
Baring Private Equity Asia|China|9180|9490
Ecofi Investments|France|9125|8154
Tristan Capital Partners|UK|9113|8067
Fisch Asset Management|Switzerland|9101|8911
Mirova|France|9000|6400
Sparx Group|Japan|8997|8353
La Financiere de l'Echiquier|France|8974|7572
Pyrford International|UK|8738|9168
VTB Capital Investment Management|Russia|8613|0
Trilogy Global Advisors|US|8467|8467
Edinburgh Partners|UK|8380|8363
Access Capital Partners|France|8300|7600
Foyston, Gordon, Payne|Canada|8168|8168
Renta 4|Spain|8105|7813
Sycomore Asset Management|France|8103|5080
Skagen Funds|Norway|8003|9013
TOBAM|France|7934|7510
Arion Bank|Iceland|7908|8847
CenterSquare Investment Management|US|7887|8351
March Asset Management|Spain|7764|6385
Abbott Capital Management|US|7429|6643
Seeyond|France|7400|14700
Securis Investment Partners|UK|7396|0
Cromwell Property Group|Australia|7327|6736
IPM Informed Portfolio Management|Sweden|7197|6178
